Ticker,Start Date,End Date,Start Price,End Price,Percentage Increase
COTI,2024-04-01,2024-06-28,5.0,12500.0,249900.0
ODTC,2024-01-02,2024-03-28,7.5,17500.0,233233.33
PMVCD,2024-01-02,2024-03-28,10.02,438.8,4279.2
SNPW,2021-01-04,2021-03-31,8.0,232.0,2800.0
BACRP,2021-04-01,2021-06-30,5.52,149.15,2604.0
MI,2021-01-04,2021-03-31,66.0,1700.0,2475.76
GDXU,2022-10-03,2022-12-30,3.29,42.46,1190.58
GME,2021-01-04,2021-03-31,4.31,47.46,1000.41
SVMB,2022-10-03,2022-12-30,35.0,380.0,985.71
LCCN,2023-01-03,2023-03-31,5.9,62.5,959.32
SUIC,2021-01-04,2021-03-31,4.0,41.0,925.0
CHMX,2021-04-01,2021-06-30,4.9,49.0,900.0
BMXC,2021-01-04,2021-03-31,839.16,8111.89,866.67
INTV,2021-01-04,2021-03-31,5.0,47.5,850.0
WBBA,2021-01-04,2021-03-31,3.71,35.0,843.4
WBBAD,2021-01-04,2021-03-31,3.71,35.0,843.4
CELZ,2020-10-01,2020-12-31,15.0,139.0,826.67
BTCT,2022-04-01,2022-06-30,3.2,28.0,775.0
FRGT,2020-10-01,2020-12-31,2318.28,19933.92,759.86
GLMD,2023-04-03,2023-06-30,4.2,35.88,754.29
LDDD,2023-01-18,2023-03-31,10.0,85.0,750.0
LTCN,2020-10-01,2020-12-31,35.0,291.0,731.43
PTCAY,2023-10-02,2023-12-29,4.55,37.42,723.08
GLSI,2020-10-01,2020-12-31,4.57,36.47,697.16
CRTD,2022-10-03,2022-12-30,43.0,335.0,679.07
PSHG,2020-10-01,2020-12-31,8.83,68.55,676.6
HUDI,2021-10-01,2021-12-31,4.18,32.01,665.79
PROP,2021-01-04,2021-03-31,17.94,130.88,629.51
GLAE,2023-10-02,2023-12-29,11.0,80.0,627.27
INDV,2022-10-03,2022-12-30,3.0,21.75,625.0
VENG,2022-10-03,2022-12-30,11.88,85.0,615.79
IMTE,2022-01-03,2022-03-31,44.0,311.4,607.73
KOSS,2021-01-04,2021-03-31,3.19,22.49,605.02
SLNO,2023-07-03,2023-09-29,4.2,29.51,602.62
KXIN,2020-10-01,2020-12-31,8.28,55.95,575.72
SXTC,2022-04-01,2022-06-30,6.5,43.75,573.08
GLAE,2022-01-03,2022-03-31,3.67,23.79,548.23
SAVA,2021-01-04,2021-03-31,7.09,44.95,533.99
BETSF,2022-10-03,2022-12-30,1680.0,10630.0,532.74
LENZ,2024-01-02,2024-03-28,3.59,22.33,522.7
CRBP,2024-01-02,2024-03-28,6.33,39.24,519.91
AMC,2021-04-01,2021-06-30,93.6,566.8,505.56
LTMAY,2022-10-03,2022-12-30,161.65,969.51,499.75
BEEM,2020-10-01,2020-12-31,12.47,73.78,491.66
GEMZ,2021-01-04,2021-03-31,5.5,32.5,490.91
FILG,2024-01-02,2024-03-28,46.0,270.0,486.96
MRIN,2021-04-01,2021-06-30,10.98,64.38,486.34
ROOT,2024-01-02,2024-03-28,10.47,61.08,483.38
RGBP,2021-04-01,2021-06-30,3.9,22.65,480.77
RYTM,2022-07-01,2022-09-30,4.3,24.5,469.77
TIHE,2021-04-01,2021-06-30,534.85,3030.3,466.57
MTAM,2021-04-01,2021-06-30,3.48,19.49,459.91
GXLM,2023-04-03,2023-06-30,9.28,51.93,459.6
ELVN,2023-01-03,2023-03-31,3.94,21.9,455.84
MMMW,2021-01-04,2021-03-31,3.25,18.0,453.85
RGBPP,2021-04-01,2021-06-30,4.95,27.35,452.53
FKST,2021-01-04,2021-03-31,5.2,28.65,450.96
BTBT,2020-10-01,2020-12-31,4.02,21.91,445.02
RVYL,2020-10-01,2020-12-31,12.0,65.4,445.0
TIRX,2021-01-28,2021-03-31,402.5,2168.75,438.82
FFIE,2024-04-01,2024-06-28,3.8,20.28,433.68
HOVVB,2022-07-01,2022-09-30,12.5,65.0,420.0
MVNC,2021-07-01,2021-09-30,15.0,78.0,420.0
BCHG,2020-10-01,2020-12-31,4.75,24.68,419.58
